,componente,ano_faixa,eixo,unidades_tematicas,objetos_conhecimento,habilidades,cod_hab,descricao_cod,primeiro_ef,segundo_ef,terceiro_ef,quarto_ef,quinto_ef,sexto_ef,setimo_ef,oitavo_ef,nono_ef
75,Língua Inglesa,9º,Eixo leitura,Estratégias de leitura,Recursos de argumentação,(EF09LI07) Identificar argumentos principais e as evidências/exemplos que os sustentam.,EF09LI07,Identificar argumentos principais e as evidências/exemplos que os sustentam.,0,0,0,0,0,0,0,0,1
76,Língua Inglesa,9º,Eixo leitura,Práticas de leitura e novas tecnologias,Informações em ambientes virtuais,"(EF09LI08) Explorar ambientes virtuais de informação e socialização, analisando a qualidade e a validade das informações veiculadas.",EF09LI08,"Explorar ambientes virtuais de informação e socialização, analisando a qualidade e a validade das informações veiculadas.",0,0,0,0,0,0,0,0,1
77,Língua Inglesa,9º,Eixo leitura,Avaliação dos textos lidos,Reflexão pós-leitura,"(EF09LI09) Compartilhar, com os colegas, a leitura dos textos escritos pelo grupo, valorizando os diferentes pontos de vista defendidos, com ética e respeito.",EF09LI09,"Compartilhar, com os colegas, a leitura dos textos escritos pelo grupo, valorizando os diferentes pontos de vista defendidos, com ética e respeito.",0,0,0,0,0,0,0,0,1
78,Língua Inglesa,9º,Eixo escrita,Estratégias de escrita,Escrita: construção da argumentação,"(EF09LI10) Propor potenciais argumentos para expor e defender ponto de vista em texto escrito, refletindo sobre o tema proposto e pesquisando dados, evidências e exemplos para sustentar os argumentos, organizando-os em sequência lógica.",EF09LI10,"Propor potenciais argumentos para expor e defender ponto de vista em texto escrito, refletindo sobre o tema proposto e pesquisando dados, evidências e exemplos para sustentar os argumentos, organizando-os em sequência lógica.",0,0,0,0,0,0,0,0,1
79,Língua Inglesa,9º,Eixo escrita,Estratégias de escrita,Escrita: construção da persuasão,"(EF09LI11) Utilizar recursos verbais e não verbais para construção da persuasão em textos da esfera publicitária, de forma adequada ao contexto de circulação (produção e compreensão).",EF09LI11,"Utilizar recursos verbais e não verbais para construção da persuasão em textos da esfera publicitária, de forma adequada ao contexto de circulação (produção e compreensão).",0,0,0,0,0,0,0,0,1
80,Língua Inglesa,9º,Eixo escrita,Práticas de escrita,"Produção de textos escritos, com mediação do professor/colegas","(EF09LI12) Produzir textos (infográficos, fóruns de discussão on-line, fotorreportagens, campanhas publicitárias, memes, entre outros) sobre temas de interesse coletivo local ou global, que revelem posicionamento crítico.",EF09LI12,"Produzir textos (infográficos, fóruns de discussão on-line, fotorreportagens, campanhas publicitárias, memes, entre outros) sobre temas de interesse coletivo local ou global, que revelem posicionamento crítico.",0,0,0,0,0,0,0,0,1
81,Língua Inglesa,9º,Eixo conhecimentos linguísticos,Estudo do léxico,Usos de linguagem em meio digital: “internetês”,"(EF09LI13) Reconhecer, nos novos gêneros digitais (blogues, mensagens instantâneas, tweets, entre outros), novas formas de escrita (abreviação de palavras, palavras com combinação de letras e números, pictogramas, símbolos gráficos, entre outros) na constituição das mensagens.",EF09LI13,"Reconhecer, nos novos gêneros digitais (blogues, mensagens instantâneas, tweets, entre outros), novas formas de escrita (abreviação de palavras, palavras com combinação de letras e números, pictogramas, símbolos gráficos, entre outros) na constituição das mensagens.",0,0,0,0,0,0,0,0,1
82,Língua Inglesa,9º,Eixo conhecimentos linguísticos,Estudo do léxico,Conectores (linking words),"(EF09LI14) Utilizar conectores indicadores de adição, condição, oposição, contraste, conclusão e síntese como auxiliares na construção da argumentação e intencionalidade discursiva.",EF09LI14,"Utilizar conectores indicadores de adição, condição, oposição, contraste, conclusão e síntese como auxiliares na construção da argumentação e intencionalidade discursiva.",0,0,0,0,0,0,0,0,1
83,Língua Inglesa,9º,Eixo conhecimentos linguísticos,Gramática,Orações condicionais (tipos 1 e 2),"(EF09LI15) Empregar, de modo inteligível, as formas verbais em orações condicionais dos tipos 1 e 2 (If-clauses).","EF09LI15) Empregar, de modo inteligível, as formas verbais em orações condicionais dos tipos 1 e 2","Empregar, de modo inteligível, as formas verbais em orações condicionais dos tipos 1 e 2 (If-clauses).",0,0,0,0,0,0,0,0,1
84,Língua Inglesa,9º,Eixo conhecimentos linguísticos,Gramática,"Verbos modais: should, must, have to, may e
might","(EF09LI16) Empregar, de modo inteligível, os verbos should, must, have to, may e might para indicar recomendação, necessidade ou obrigação e probabilidade.",EF09LI16,"Empregar, de modo inteligível, os verbos should, must, have to, may e might para indicar recomendação, necessidade ou obrigação e probabilidade.",0,0,0,0,0,0,0,0,1
85,Língua Inglesa,9º,Eixo dimensão intercultural,A língua inglesa no mundo,Expansão da língua inglesa: contexto histórico,"(EF09LI17) Debater sobre a expansão da língua inglesa pelo mundo, em função do processo de colonização nas Américas, África, Ásia e Oceania.",EF09LI17,"Debater sobre a expansão da língua inglesa pelo mundo, em função do processo de colonização nas Américas, África, Ásia e Oceania.",0,0,0,0,0,0,0,0,1
86,Língua Inglesa,9º,Eixo dimensão intercultural,A língua inglesa no mundo,"A língua inglesa e seu papel no intercâmbio científico, econômico e político","(EF09LI18) Analisar a importância da língua inglesa para o desenvolvimento das ciências (produção, divulgação e discussão de novos conhecimentos), da economia e da política no cenário mundial.",EF09LI18,"Analisar a importância da língua inglesa para o desenvolvimento das ciências (produção, divulgação e discussão de novos conhecimentos), da economia e da política no cenário mundial.",0,0,0,0,0,0,0,0,1
87,Língua Inglesa,9º,Eixo dimensão intercultural,Comunicação intercultural,Construção de identidades no mundo globalizado,(EF09LI19) Discutir a comunicação intercultural por meio da língua inglesa como mecanismo de valorização pessoal e de construção de identidades no mundo globalizado.,EF09LI19,Discutir a comunicação intercultural por meio da língua inglesa como mecanismo de valorização pessoal e de construção de identidades no mundo globalizado.,0,0,0,0,0,0,0,0,1
